,カウント　,X,Y,Z,ノルム,閾値1.5,連続消す,ジャーク,J閾値0.4,J閾値0.6,,,,,
1.5454E+12,142,-0.984,-0.176,0.024,0.999808,0,0,-0.240064,0,0,0,,,,
1.5454E+12,143,-0.976,-0.276,0.096,1.037968,0,0,0.03816,0,0,0,,,,
1.5454E+12,144,-0.964,-0.312,0.048,1.028944,0,0,-0.009024,0,0,0,,,,
1.5454E+12,145,-1.228,-0.012,0.028,1.508912,1,1,0.479968,1,0,0,,,,
1.5454E+12,146,-0.996,-0.4,0.02,1.152416,0,0,-0.356496,0,0,0,,,,
1.5454E+12,147,-0.996,-0.4,0.02,1.152416,0,0,0,0,0,0,,,,
1.5454E+12,148,-0.996,-0.124,-0.02,1.007792,0,0,-0.144624,0,0,0,,,,
1.5454E+12,149,-1.028,-0.16,-0.004,1.0824,0,0,0.074608,0,0,0,,,,
1.5454E+12,150,-1,-0.124,-0.024,1.015952,0,0,-0.066448,0,0,0,,,,
1.5454E+12,151,-1.02,-0.116,-0.024,1.054432,0,0,0.03848,0,0,0,,,,
1.5454E+12,152,-1.016,-0.136,-0.04,1.052352,0,0,-0.00208,0,0,0,,,,
1.5454E+12,153,-1.016,-0.136,-0.04,1.052352,0,0,0,0,0,0,,,,
1.5454E+12,154,-1.008,-0.128,-0.028,1.033232,0,0,-0.01912,0,0,0,,,,
1.5454E+12,155,-1.016,-0.128,-0.012,1.048784,0,0,0.015552,0,0,0,,,,
1.5454E+12,156,-1.012,-0.128,-0.02,1.040928,0,0,-0.007856,0,0,0,,,,
1.5454E+12,157,-1.016,-0.12,-0.016,1.046912,0,0,0.005984,0,0,0,,,,
1.5454E+12,158,-1.008,-0.136,-0.032,1.035584,0,0,-0.011328,0,0,0,,,,
1.5454E+12,159,-1.024,-0.132,0.008,1.066064,0,0,0.03048,0,0,0,,,,
1.5454E+12,160,-1.024,-0.132,0.008,1.066064,0,0,0,0,0,0,,,,
1.5454E+12,161,-1.024,-0.14,0.004,1.068192,0,0,0.002128,0,0,0,,,,
1.5454E+12,162,-1.004,-0.132,0,1.02544,0,0,-0.042752,0,0,0,,,,
1.5454E+12,163,-1.008,-0.128,0.004,1.032464,0,0,0.007024,0,0,0,,,,
1.5454E+12,164,-1.02,-0.1,-0.024,1.050976,0,0,0.018512,0,0,0,,,,
1.5454E+12,165,-1.028,-0.068,0.008,1.061472,0,0,0.010496,0,0,0,,,,
1.5454E+12,166,-1.028,-0.068,0.008,1.061472,0,0,0,0,0,0,,,,
1.5454E+12,167,-1.036,-0.112,0.008,1.085904,0,0,0.024432,0,0,0,,,,
1.5454E+12,168,-1.008,-0.16,0.028,1.042448,0,0,-0.043456,0,0,0,,,,
1.5454E+12,169,-1,-0.156,0.044,1.026272,0,0,-0.016176,0,0,0,,,,
1.5454E+12,170,-1.004,-0.16,0.024,1.034192,0,0,0.00792,0,0,0,,,,
1.5454E+12,171,-1.008,-0.136,0.032,1.035584,0,0,0.001392,0,0,0,,,,
1.5454E+12,172,-1.008,-0.136,0.032,1.035584,0,0,0,0,0,0,,,,
1.5454E+12,173,-1.024,-0.14,0.036,1.069472,0,0,0.033888,0,0,0,,,,
1.5454E+12,174,-1.048,-0.236,0.224,1.204176,0,0,0.134704,0,0,0,,,,
1.5454E+12,175,-0.996,0.008,0.032,0.993104,0,0,-0.211072,0,0,0,,,,
1.5454E+12,176,-1.084,-0.048,-0.096,1.186576,0,0,0.193472,0,0,0,,,,
1.5454E+12,177,-0.964,-0.128,-0.16,0.97128,0,0,-0.215296,0,0,0,,,,
1.5454E+12,178,-0.964,-0.128,-0.16,0.97128,0,0,0,0,0,0,,,,
1.5454E+12,179,-0.944,-0.1,-0.168,0.92936,0,0,-0.04192,0,0,0,,,,
1.5454E+12,180,-0.976,-0.168,-0.1,0.9908,0,0,0.06144,0,0,0,,,,
1.5454E+12,181,-0.992,-0.152,-0.112,1.019712,0,0,0.028912,0,0,0,,,,
1.5454E+12,182,-0.912,-0.352,0.132,0.973072,0,0,-0.04664,0,0,0,,,,
1.5454E+12,183,-1.124,-0.168,0.016,1.291856,0,0,0.318784,0,0,0,,,,
1.5454E+12,184,-1.124,-0.168,0.016,1.291856,0,0,0,0,0,0,,,,
1.5454E+12,185,-0.944,-0.288,0.28,1.05248,0,0,-0.239376,0,0,0,,,,
1.5454E+12,186,-0.988,-0.184,0.304,1.102416,0,0,0.049936,0,0,0,,,,
1.5454E+12,187,-0.988,-0.184,0.188,1.045344,0,0,-0.057072,0,0,0,,,,
1.5454E+12,188,-1.032,-0.08,0.084,1.07848,0,0,0.033136,0,0,0,,,,
1.5454E+12,189,-0.964,-0.132,0,0.94672,0,0,-0.13176,0,0,0,,,,
1.5454E+12,190,-0.964,-0.132,0,0.94672,0,0,0,0,0,0,,,,
1.5454E+12,191,-0.936,-0.052,-0.064,0.882896,0,0,-0.063824,0,0,0,,,,
1.5454E+12,192,-0.972,-0.052,0.048,0.949792,0,0,0.066896,0,0,0,,,,
1.5454E+12,193,-1.46,0.084,0.028,2.13944,1,1,1.189648,1,1,0,,,,
1.5454E+12,194,-0.968,-0.308,0.144,1.052624,0,0,-1.086816,0,0,0,,,,
1.5454E+12,195,-0.992,-0.064,0.16,1.01376,0,0,-0.038864,0,0,0,,,,
1.5454E+12,196,-0.992,-0.064,0.16,1.01376,0,0,0,0,0,0,,,,
1.5454E+12,197,-1.084,-0.252,0.088,1.246304,0,0,0.232544,0,0,0,,,,
1.5454E+12,198,-0.92,-0.072,-0.012,0.851728,0,0,-0.394576,0,0,0,,,,
1.5454E+12,199,-0.84,-0.2,-0.116,0.759056,0,0,-0.092672,0,0,0,,,,
1.5454E+12,200,-0.848,-0.128,-0.16,0.761088,0,0,0.002032,0,0,0,,,,
1.5454E+12,201,-0.964,-0.228,-0.128,0.997664,0,0,0.236576,0,0,0,,,,
1.5454E+12,202,-0.964,-0.228,-0.128,0.997664,0,0,0,0,0,0,,,,
1.5454E+12,203,-1.088,-0.396,0.168,1.368784,0,0,0.37112,0,0,0,,,,
1.5454E+12,204,-1.02,-0.328,0.136,1.16648,0,0,-0.202304,0,0,0,,,,
1.5454E+12,205,-0.78,-0.232,0.072,0.667408,0,0,-0.499072,0,0,0,,,,
1.5454E+12,206,-0.98,-0.112,0.024,0.97352,0,0,0.306112,0,0,0,,,,
1.5454E+12,207,-1.016,0.012,-0.056,1.035536,0,0,0.062016,0,0,0,,,,
1.5454E+12,208,-1.016,0.012,-0.056,1.035536,0,0,0,0,0,0,,,,
1.5454E+12,209,-0.952,-0.072,-0.08,0.917888,0,0,-0.117648,0,0,0,,,,
1.5454E+12,210,-0.98,-0.18,-0.22,1.0412,0,0,0.123312,0,0,0,,,,
1.5454E+12,211,-1.52,-0.252,0.688,2.847248,1,1,1.806048,1,1,0,,,,
1.5454E+12,212,-1.032,-0.26,0.028,1.133408,0,0,-1.71384,0,0,0,,,,
1.5454E+12,213,-0.748,-0.224,0.036,0.610976,0,0,-0.522432,0,0,0,,,,
1.5454E+12,214,-0.748,-0.224,0.036,0.610976,0,0,0,0,0,0,,,,
1.5454E+12,215,-0.912,-0.152,-0.016,0.855104,0,0,0.244128,0,0,0,,,,
1.5454E+12,216,-0.996,-0.328,-0.068,1.104224,0,0,0.24912,0,0,0,,,,
1.5454E+12,217,-0.868,-0.104,-0.188,0.799584,0,0,-0.30464,0,0,0,,,,
1.5454E+12,218,-1,-0.284,-0.208,1.12392,0,0,0.324336,0,0,0,,,,
1.5454E+12,219,-0.952,-0.076,-0.216,0.958736,0,0,-0.165184,0,0,0,,,,
1.5454E+12,220,-0.952,-0.076,-0.216,0.958736,0,0,0,0,0,0,,,,
1.5454E+12,221,-1.044,-0.204,-0.264,1.201248,0,0,0.242512,0,0,0,,,,
1.5454E+12,222,-0.88,0.088,0.18,0.814544,0,0,-0.386704,0,0,0,,,,
